,year,month,date,date_in_Fraction,daily total sunspot number,daily std dev,number of stations,definitive/provisional marker
485,1998,5,1,1998.33,75,5.4,15,0
486,1998,5,2,1998.333,96,5.2,15,0
487,1998,5,3,1998.336,97,4.6,17,0
488,1998,5,4,1998.338,96,4.7,17,0
489,1998,5,5,1998.341,104,4.0,19,0
490,1998,5,6,1998.344,100,7.0,17,0
491,1998,5,7,1998.347,93,4.1,20,0
492,1998,5,8,1998.349,83,5.9,21,0
493,1998,5,9,1998.352,71,5.7,21,0
494,1998,5,10,1998.355,57,5.4,21,0
495,1998,5,11,1998.358,76,4.5,19,0
496,1998,5,12,1998.36,96,5.0,19,0
497,1998,5,13,1998.363,105,4.2,25,0
498,1998,5,14,1998.366,108,7.1,23,0
499,1998,5,15,1998.368,105,4.8,22,0
500,1998,5,16,1998.371,104,6.0,19,0
501,1998,5,17,1998.374,93,4.9,23,0
502,1998,5,18,1998.377,88,6.4,14,0
503,1998,5,19,1998.379,74,5.9,21,0
504,1998,5,20,1998.382,57,5.4,23,0
505,1998,5,21,1998.385,34,3.0,19,0
506,1998,5,22,1998.388,28,3.1,23,0
507,1998,5,23,1998.39,37,4.2,22,0
508,1998,5,24,1998.393,42,2.8,15,0
509,1998,5,25,1998.396,54,4.9,19,0
510,1998,5,26,1998.399,57,2.8,23,0
511,1998,5,27,1998.401,67,4.5,26,0
512,1998,5,28,1998.404,43,3.1,22,0
513,1998,5,29,1998.407,37,2.4,18,0
514,1998,5,30,1998.41,53,5.0,21,0
515,1998,5,31,1998.412,64,3.4,21,0
516,1998,6,1,1998.415,63,2.9,19,0
517,1998,6,2,1998.418,73,4.6,20,0
518,1998,6,3,1998.421,70,4.1,21,0
519,1998,6,4,1998.423,95,3.7,22,0
520,1998,6,5,1998.426,101,4.0,14,0
521,1998,6,6,1998.429,92,6.0,19,0
522,1998,6,7,1998.432,85,6.2,16,0
523,1998,6,8,1998.434,85,4.9,20,0
524,1998,6,9,1998.437,104,5.5,13,0
525,1998,6,10,1998.44,99,6.4,16,0
526,1998,6,11,1998.442,97,7.2,20,0
527,1998,6,12,1998.445,106,8.1,16,0
528,1998,6,13,1998.448,117,10.5,15,0
529,1998,6,14,1998.451,88,5.0,13,0
530,1998,6,15,1998.453,68,5.1,23,0
531,1998,6,16,1998.456,63,3.0,20,0
532,1998,6,17,1998.459,86,5.2,18,0
533,1998,6,18,1998.462,70,4.6,17,0
534,1998,6,19,1998.464,67,3.6,16,0
535,1998,6,20,1998.467,77,4.7,22,0
536,1998,6,21,1998.47,82,6.0,16,0
537,1998,6,22,1998.473,65,5.0,18,0
538,1998,6,23,1998.475,68,3.2,15,0
539,1998,6,24,1998.478,58,4.9,16,0
540,1998,6,25,1998.481,96,4.2,14,0
541,1998,6,26,1998.484,106,5.9,17,0
542,1998,6,27,1998.486,128,10.4,17,0
543,1998,6,28,1998.489,138,11.4,19,0
544,1998,6,29,1998.492,140,6.8,15,0
545,1998,6,30,1998.495,129,6.7,14,0
546,1998,7,1,1998.497,137,7.5,21,0
547,1998,7,2,1998.5,138,7.9,21,0
548,1998,7,3,1998.503,138,8.2,17,0
549,1998,7,4,1998.505,145,7.7,20,0
550,1998,7,5,1998.508,137,6.1,19,0
551,1998,7,6,1998.511,107,7.3,14,0
552,1998,7,7,1998.514,74,7.1,17,0
553,1998,7,8,1998.516,55,4.2,21,0
554,1998,7,9,1998.519,46,4.5,13,0
555,1998,7,10,1998.522,71,6.2,14,0
556,1998,7,11,1998.525,83,5.8,21,0
557,1998,7,12,1998.527,80,3.9,16,0
558,1998,7,13,1998.53,64,3.6,19,0
559,1998,7,14,1998.533,60,4.8,22,0
560,1998,7,15,1998.536,80,6.5,20,0
561,1998,7,16,1998.538,97,8.5,17,0
562,1998,7,17,1998.541,86,9.4,19,0
563,1998,7,18,1998.544,61,5.5,20,0
564,1998,7,19,1998.547,51,3.9,21,0
565,1998,7,20,1998.549,100,4.8,22,0
566,1998,7,21,1998.552,113,8.4,24,0
567,1998,7,22,1998.555,132,6.2,22,0
568,1998,7,23,1998.558,131,9.4,23,0
569,1998,7,24,1998.56,115,5.5,20,0
570,1998,7,25,1998.563,99,5.5,20,0
